"Ashwin Ashok","Georgia State University"
"Yaxiong Xie","University at Buffalo SUNY"
"Abbaas Alif Mohamed Nishar","Georgia State University"
"Abhishek Chanda","Cloudflare"
"Amartya Basu","IIT Madras"
"Amit Samanta","University of Utah"
"Argha Sen","Indian Institute of Technology, Kharagpur"
"Arunsingh Jeyasingh Jacob","AWS"
"Baodi Shan","Stony Brook University"
"Baodong Chen","The Ohio State University"
"Bhawana Chhaglani","UMass"
"Chaojie Gu","Zhejiang University"
"Charalampos Orfanidis","Technical University of Denmark"
"Chi Lin","Dalian University of Technology"
"Dong Li","University of Maryland, Baltimore County"
"Dongfang Guo","Nanyang Technological University"
"Gaosheng Liu","VU Amsterdam"
"Guanqun Song","The Ohio State University"
"Han Wang","University of Electronic Science and Technology of China"
"Hanfei Yu","Stevens Institute of Technology"
"Hanqing Guo","University of Hawaii at Mānoa"
"Huixin Dong","Huazhong University of Science and Techology"
"Jian Ding","Yale University"
"Lang Wei","The Ohio State University"
"Leming Shen","The Hong Kong Polytechnic University"
"Liyao Li","University at Buffalo, SUNY"
"Mebiratu Beyene","Dalian University of Technology"
"Mingyi Chen","UC Irvine"
"Payal Mohapatra","Northwestern University"
"Pengcheng Wang","Purdue University"
"Qifan Yang","Ohio State University"
"Ritesh Kumar Singh","IDLab - University of Antwerp - imec"
"Rui Xiao","Zhejiang University"
"Ruichen Li","Ohio State University"
"Sangwon Choi","Nokia Bell Labs"
"Sarmistha Sarna Gomasta","University of Massachusetts Amherst"
"Shiming Yu","The Hong Kong Polytechnic University"
"Siddharth Rupavatharam","WINLAB, Rutgers University"
"Sumit Chakravarty","Kennesaw State University"
"Tamseel Mahmood Syed","University of Alabama in Huntsville"
"Tao Chen","University of Pittsburgh"
"Venkatesh Kodukula","Amazon Lab126"
"Xuyan Cheng","Ohio State University"
"Yao Lu","The Ohio State University"
"Yongjian Fu","Central South University"
"Yoon Chae","University of Texas at Arlington"
"Yufan Wu","Ohio State University"
"Yuxin (Myles) Liu","UC Irvine"
"Zehua Sun","City University of Hong Kong"
"Zhiyuan Wang","University of Virginia"
